Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,2000,18,16,207,5.59,0.000%,51.72102,140.36,9.60,2779.0
TOTAL,2000,18,16,207,5.59,0.000%,51.72102,140.36,9.60,2779.0
