timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741748984093,22,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,22,0,1
1741748984115,21,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,21,0,1
1741748984136,21,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,21,0,0
1741748984157,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748984174,29,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,29,0,1
1741748984203,21,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,21,0,0
1741748984224,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748984243,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748984260,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,24,0,0
1741748984285,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748984303,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748984321,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748984338,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748984356,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,1
